"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:HIRING_ENGINEERS_END","I am back.","Bueltan naiz."
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","Zenbat ingeniari ikusi dituzu?"
"traveler:HIRING_ENGINEERS_END","I got no calls.","Ez dut deirik jaso."
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","Ez diozu inori nire txartelik banatu."
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Milesker ezer ez egiteagatik."
"traveler:HIRING_ENGINEERS_END","I get only one call.","Dei bat bakarrik jaso dut."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","Zorionez tipo abila da."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Hemen hitzemandakoa."
"traveler:HIRING_ENGINEERS_END","I got two calls.","Bi dei jaso ditut."
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","Tipo bat ona zen."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Beste ez hainbeste."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Milesker, dena den."
"traveler:HIRING_ENGINEERS_END","I got three calls.","Hiru dei jaso ditut."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Bi tipo onak ziren."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Azkena txoropito bat. Oinarrizkoa ere ez zekien."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","Baina ondo dago. Eskertzen da."
"traveler:HIRING_ENGINEERS_END","I got four calls.","Lau dei jaso ditut."
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","Hiru ingeniari zibilak ziren. Ezdeusak."
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","Mekanikoak behar ditut. Esan nizun."
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","Dena den, ondo da. Azkena tipo bizkorra zen."
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","Milesker laguntzagatik."
"traveler:FRIENDLY_GUARD0","Hello.","Kaixo."
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","Nirskekoa zarela entzun dut?"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","Ni han hazi nintzen, baina ez naiz urte askoan itzuli."
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@Zulo ilun bat da. Lehen bezala."
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","Kar kar, noski. Hori da nik ere gogoan dudana."
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","Sergiu naiz. Pozten naiz zu ezagutzeaz."
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","Ahal dudana egingo dut zu babesteko."
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","Eskerrik asko atzokoagatik."
"traveler:FRIENDLY_GUARD1","My aim is not like before.","Nire punteria ez da izan ohi zena."
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","Mugimendu gehiago dago kontrolgune honetan gerran baino."
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","Kolechian borrokatu nuen 5 urtez."
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","Arstotzkan gaizki bizi garela uste baduzu, hamar bider okerragoa da Kolechian."
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","Ulertzen ditut hona datozenak."
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","Edonola ere, ondo ari zara. Jarraitu horrela."
"traveler:FRIENDLY_GUARD3","Friend, how are you?","Lagun, nola zaude?"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","Fabore txiki bat dut zuri eskatzeko."
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","Gerra bitartean, neska eder bat ezagutu nuen."
"traveler:FRIENDLY_GUARD3","I think about her every moment.","Une oro daukat bera buruan."
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","Atzo jakin nuen azkenean hona etortzekoa dela."
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","Mesedez, utziozu pasatzen eta zorretan izango nauzu."
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","Elisa deitzen da."
"traveler:FRIENDLY_GUARD4","Thank you for everything.","Milesker guztiagatik."
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Elisa oso zoriontsu da hemen."
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","Gure aurreneko semeari zure izena jarri nahi dio."
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","Ni ados nago, baina aurrena alaba bat eduki nahi dut!"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","Berari medailoia erakutsi nahiko nioke."
"traveler:FRIENDLY_GUARD4","Do you still have it?","Hor duzu oraindik?"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","Oi, faltan botatzen dut."
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","Ez da askorik, baina eskerrak emateko modu bat aurkitu dugu."
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Elisak etxera bidaliko dizu. Espero dut lagunduko dizula."
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","Bihar beste postu batera eramango naute."
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","Zaindu zaitez, lagun."
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Elisa ez da etorri."
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@Etorri da, baina bere paperak ez ziren zuzenak."
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@Esaiozu dokumentu zuzenekin berriro saiatzeko."
"traveler:FRIENDLY_GUARD4","You know this is impossible.","Badakizu ezinezkoa dela."
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","Medailoia aldean badaramazu, emadazu."
"traveler:ELISA","Do you know Sergiu?","Ezagutzen duzu Sergiu?"
"traveler:ELISA","He said you were friend. That you would help.","Bere laguna zinela esan zidan. Lagunduko ninduzula."
"traveler:ELISA","Please, my family is gone.","Mesedez, ez dut familiarik."
"traveler:ELISA","I have only Sergiu left.","Sergiu baino ez daukat."
"traveler:ELISA","@You do not have the required documentation.","@Ez duzu beharrezko dokumentaziorik."
"traveler:ELISA","I tried for so long.","Denbora asko daramat saiatzen."
"traveler:ELISA","They would not allow me to leave.","Ez didate irteten uzten."
"traveler:ELISA","I am denied?","Sarrera ukatuta?"
"traveler:ELISA","I understand.","Ulertzen dut."
"traveler:ELISA","Please, tell Sergiu I will always love him.","Mesedez, esan Sergiuri beti maiteko dudala."
"traveler:ELISA","We will be together in another life.","Elkarrekin izango gara hurrengo bizitza batean."
"traveler:ELISA","Return this for him to remember me.","Itzuliozu hau, gogora nazan."
"traveler:ELISA","Thank you so much.","Eskerrik asko."
"traveler:ELISA","I will never forget your kindness.","Ez dut inoiz ahaztuko zure adeitasuna."
"traveler:ELISA","@He is waiting for you.","@Zure zain da Sergiu."
"traveler:ELISA","My love.","Nire maitea."
"traveler:ELISA","I miss him.","Faltan botatzen dut."
"traveler:ELISA","@I am sorry. Sergiu was killed.","@Sentitzen dut. Sergiu hil egin dute."
"traveler:ELISA","My Sergiu.","Nire Sergiu."
"traveler:ELISA","Thank you for your kindness.","Eskerrik asko zure adeitasunagatik."
"traveler:ELISA","There is nothing for me here any more.","Dagoeneko ez dut ezer hemen."
"traveler:ELISA","Thank you.","Milesker."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","Ez duzu inor atxilotu."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","Pertsona bakarra atxilotu duzu."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","${Game/NumDetains} pertsona atxilotu dituzu."
"traveler:PRISON_GUARD0","Hello.","Kaixo."
"traveler:PRISON_GUARD0","@Are you the spy?","@Zeu zara espioia?"
"traveler:PRISON_GUARD0","What? No.","Zer? Ez."
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","Hemengo zaindaria naiz. Calensk dut izena."
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","Posizio on bat lortuko nuela esan zidaten, eta gero hona bidali naute."
"traveler:PRISON_GUARD0","This is thanks I get.","Honela eskertzen didate."
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","Orain huskeria bat ordaintzen didate."
"traveler:PRISON_GUARD0","@They pay us all as much.","@Denoi berdin ordaintzen digute."
"traveler:PRISON_GUARD0","Yes. But look.","Bai. Baina entzun."
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","Zuk norbait atxilotzen duzunean, bonus txiki bat ematen didate."
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","Zuk zenbat eta gehiago atxilotu, nik gehiago jasotzen dut."
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","Baina hori ez da bidezkoa, ezta? Zuk ere zertxobait jaso beharko zenuke."
"traveler:PRISON_GUARD0","So I fix this problem.","Hona konponbidea."
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","Nire bonusetik 5 kreditu emango dizkizut atxilotzen duzun bitik batean."
"traveler:PRISON_GUARD0","Sounds like good deal to me.","Tratu ona iruditzen zait niri."
"traveler:PRISON_GUARD0","I give money to you after I get paid.","Zure partea ordaintzen didatenean emango dizut."
"traveler:PRISON_GUARD0","Let us make the best of this.","Atera diezaiogun honi etekina."
"traveler:PRISON_GUARD3","Here.","Tori."
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","Bonusagatik eta bonba atalak saltzeagatik."
"traveler:PRISON_GUARD3","They move our station to prison.","Gure postua kartzelara aldatuko dute."
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","Bonusa jasotzen jarraituko dugu, beraz segi atxilotzen.~"
"traveler:PRISON_GUARD3","I stop visiting you here.","Hemen bisitatzeari utziko diot."
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","Horren ordez, zure etxera bidaliko dizut dirua."
"traveler:PRISON_GUARD3","Every other night.","Bi egunean behin."
"traveler:PRISON_GUARD_PAYOUT","What is going on?","Zer gertatzen da?"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","Ez dut ezer kobratu zure erruz."
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","Atxilotu jende gehiago eta biok irabaziko dugu."
"traveler:PRISON_GUARD_PAYOUT","Good morning.","Egun on."
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","Ez zabiltza behar beste pertsona atxilotzen."
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","Ez dut ezer zuri emateko."
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","Atxilotu gehiago eta nire bonusa partekatuko dugu."
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","Bonusa ona da, ondo ordaintzen dute."
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","Baina ez da asko."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","Gehiago atxilotzen baduzu hobe joango zaizkigu gauzak."
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@Hau ez da nahikoa."
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","Bai, badakit."
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","Nire emaztea gaixorik dago. Auzoak gripea kutsatu dio."
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","Hau gelditu zait sendagaia ordaindu ostean."
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","Hurrengo aldian emango dizut zor dizudana."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","Gehiago atxilotzen baduzu errazagoa izango da."
"traveler:PRISON_GUARD_PAYOUT","Here is your cut.","Hemen zure partea."
"traveler:PRISON_GUARD_PAYOUT","@There is more from last time.","@Aurreko alditik gehiago falta da."
"traveler:PRISON_GUARD_PAYOUT","This is all I have now but soon I make up rest.","Hau da orain daukadana, baina laster emango dizut falta dena."
"traveler:PRISON_GUARD_PAYOUT","Again it is a little short.","Larri nabil berriro."
"traveler:PRISON_GUARD_PAYOUT","Keep detaining and I pay you back soon.","Jarraitu atxilotzen eta laster bueltatuko dizut."
"traveler:PRISON_GUARD_BOMB","What is going on?","Zer gertatzen da?"
"traveler:PRISON_GUARD_BOMB","Oh. Hah.","Oh. Kar kar."
"traveler:PRISON_GUARD_BOMB","What is this amateur shit?","Zer da amateurren traste hori?"
"traveler:PRISON_GUARD_BOMB","@Should we evacuate?","@Ebakuatuko dugu?"
"traveler:PRISON_GUARD_BOMB","For that little thing? No of course not.","Gauzatxo horregatik? Jakina ezetz."
"traveler:PRISON_GUARD_BOMB","Just disable it. Open the cover.","Desgaitu ezazu. Ireki estalkia."
"traveler:PRISON_GUARD_BOMB","Stupid fucking terrorist.","Terrorista tentelak."
"traveler:PRISON_GUARD_BOMB","Could not even add a display.","Ezin izan dute ezta pantailarik ere jarri."
"traveler:PRISON_GUARD_BOMB","@What should I do now?","@Zer egin behar dut orain?"
"traveler:PRISON_GUARD_BOMB","This is poorest bomb I ever see. A simple mind created this.","Inoiz ikusi dudan bonbarik ustelena da hau. Txoropito baten lana dirudi."
"traveler:PRISON_GUARD_BOMB","Just cut the wires in order.","Ebaki kableak ordenan."
"traveler:PRISON_GUARD_BOMB","Ok, all done. Back to work.","Kitto. Orain, berriro lanera."
"traveler:PRISON_GUARD_BOMB","@We should close the checkpoint.","@Kontrolgunea itxi beharko genuke."
"traveler:PRISON_GUARD_BOMB","Bullshit. I need to earn money today.","Txorakeriak. Gaurko soldata behar dut."
"traveler:PRISON_GUARD_BOMB","Give bomb to me.","Emadazu lehergailua."
"traveler:PRISON_GUARD_BOMB","I sell materials and give you cut.","Materialak saldu eta dagokizun partea emango dizut."
"traveler:PRISON_GUARD_BOMB","What a piece of shit.","Zabor piloa."
"traveler:PRISON_GUARD_BOMB","I doubt it is even worth much.","Ez dut uste askorik balioko duenik."
"traveler:PRISON_GUARD_BOMB","Call the next immigrant.","Deitu hurrengo etorkinari."
"traveler:TIME_BOMBER","DEATH TO ARSTOTZKA!","HERIOTZA ARSTOTZKARENTZAT!"
"traveler:BOSS_REPORTCITATIONS","You have received no citations.","Ez duzu zitaziorik jaso."
"traveler:BOSS_REPORTCITATIONS","You have received one citation.","Zitazio bat jaso duzu."
"traveler:BOSS_REPORTCITATIONS","You have received ${Game/NumCitations} citations.","${Game/NumCitations} zitazio jaso dituzu."
"traveler:BOSS0","So.~","Beraz.~"
"traveler:BOSS0","You are inspector here.~","Zu zara hemengo ikuskatzailea.~"
"traveler:BOSS0","That makes you my responsibility.~","Horrek nire erantzukizun bihurtzen zaitu.~"
"traveler:BOSS0","You make Arstotzka proud.~","Arstotzka zutaz harro dago.~"
"traveler:BOSS0","Hang it on wall here.","Eseki hau horman."
"traveler:BOSS0","I return in 10 days.~","10 egun barru itzuliko naiz.~"
"traveler:BOSS0","Maintain your diligence.","Jarraitu lana arretaz egiten."
"traveler:BOSS0","Glory to Arstotzka.","Aintza Arstotzkari."
"traveler:BOSS0","Perhaps it was mistake to rely on lottery.","Agian erabaki txarra izan zen langileak loteriaz hautatzea."
"traveler:BOSS0","Let this motivate you.~","Ea hau motibagarri zaizun.~"
"traveler:BOSS0","Do not embarrass me.","Ez nazazu lotsarazi."
"traveler:BOSS0","It makes me look like fool to trust lottery.~","Inozoa ni, loteria bidezko hautaketaz fidatzeagatik.~"
"traveler:BOSS0","Let this motivate you to improve.~","Espero dut honek hobetzeko motibatuko zaituela.~"
"traveler:BOSS0","Do not embarrass me further.","Ez nazazu gehiago lotsarazi."
"traveler:BOSS1","It is too early to come all the way out here.","Goizegi da honainoko bide osoa egin behar izateko."
"traveler:BOSS1","The smell at this checkpoint makes me sick.","Kontrolgune honetako usainak botagurea ematen dit."
"traveler:BOSS1","Where is plaque I gave you?","Non da eman nizun plaka?"
"traveler:BOSS1","Why is it not on wall?","Zergatik ez dago horman?"
"traveler:BOSS1","What is other shit hanging here?","Zer da hor esekita dagoen zabor hori?"
"traveler:BOSS1","These walls are for official plaques only.","Horma hauek plaka ofizialentzat soilik dira."
"traveler:BOSS1","Your pay will be docked for violation.","Gaurko soldata kenduko zaizu urraketa honengatik."
"traveler:BOSS1","@It will not happen again.","@Ez da berriro gertatuko."
"traveler:BOSS1","At least you are performing well.","Behintzat lan ona egiten ari zara."
"traveler:BOSS1","Continue this honorable service.","Jarraitu zerbitzu txukun hau ematen."
"traveler:BOSS1","At least your performance is not terrible.","Behintzat ez duzu horren lan txarra egin."
"traveler:BOSS1","Do not slip further.","Baina ez dut beste hutsik nahi."
"traveler:BOSS1","And your performance is terrible.","Eta gainera oso lan txarra egin duzu."
"traveler:BOSS1","Maybe you have forgotten what your job is.","Agian zure egitekoa zein den ahaztu zaizu."
"traveler:BOSS1","There are many more who can take your place.","Badago zure lekua har dezakeen jende gehiago."
"traveler:BOSS1","Now.","Orain."
"traveler:BOSS1","I have old friend coming through.","Adiskide zahar bat hemendik igarotzekoa da."
"traveler:BOSS1","Approve her entry.","Utziozu pasatzen."
"traveler:BOSS1","She is Shae Piersovska.~","Bere izena Shae Piersovska da.~"
"traveler:BOSS1","I do not want to hear of any trouble to her.","Ez dut entzun nahi arazorik izan duenik."
"traveler:BOSS1","Glory to Arstotzka.","Aintza Arstotzkari."
"traveler:BOSS2","You little bastard.~","Sasikume ziztrina.~"
"traveler:BOSS2","Shae thinks I am powerless fool now.","Shaek uste du botererik ez duen tentel bat baino ez naizela."
"traveler:BOSS2","It was made very clear to let her through.","Argi ondo esan nizun pasatzen uzteko."
"traveler:BOSS2","Now I must think about the consequences for you.~","Honek ondorioak izango ditu zuretzat.~"
"traveler:BOSS2","Maybe this place not so bad.","Agian leku hau ez da horren kaxkarra."
"traveler:BOSS2","With everything going on, checkpoint visit is nice break.~","Gertatzen ari den guztiarekin, bisitaldi hau atseden eder bat da.~"
"traveler:BOSS2","You still do not hang the plaques.","Oraindik ez dituzu plakak eseki."
"traveler:BOSS2","Why do you not hang both plaques?","Zergatik ez dituzu plaka biak eseki?"
"traveler:BOSS2","But again you have unauthorized items on wall.","Baina berriro dituzu baimendu gabeko gauzak horman."
"traveler:BOSS2","I warned before.~","Abisatu nizun.~"
"traveler:BOSS2","But what is other shit hanging here?","Baina zer da hor esekitako kaka hori?"
"traveler:BOSS2","These walls are for official plaques only.","Horma hauek plaka ofizialak esekitzeko soilik dira."
